pTrdSymbol;pSymbol;pSymbolName;pGroup;pExSeg;pInstType
730SICC28-N0;757531;730SICC28;N0;;
TRAVELFOOD-EQ;757545;TRAVELFOOD;EQ;;
682TN36-SG;757546;682TN36;SG;;
930IIFL35-N0;757573;930IIFL35;N0;;
SAFEENTP-SM;757583;SAFEENTP;SM;;
MAYASHEEL-SM;757587;MAYASHEEL;SM;;
TRAVELFOOD-BL;757593;TRAVELFOOD;BL;;
945SCL28-N0;757610;945SCL28;N0;;
ARIS-BL;757617;ARIS;BL;;
688BR35-SG;757627;688BR35;SG;;
778AIFL30-N0;757639;778AIFL30;N0;;
880IIFL26-N0;757663;880IIFL26;N0;;
115VCCL27-N0;757719;115VCCL27;N0;;
686RJ36-SG;5740;686RJ36;SG;;
68NL31-SG;5744;68NL31;SG;;
MASPTOP50-BL;5788;MASPTOP50;BL;;
FOODSIN-BL;6690;FOODSIN;BL;;
J&KBANK-EQ;5633;J&KBANK;EQ;;
FOCUS-BL;6840;FOCUS;BL;;
613GS2028-GS;6868;613GS2028;GS;;
687BR30A-SG;6877;687BR30A;SG;;
693HP32-SG;6880;693HP32;SG;;
833GS2036-GS;6883;833GS2036;GS;;
691WB31-SG;6897;691WB31;SG;;
VISHNU-BL;6916;VISHNU;BL;;
703RJ31-SG;7531;703RJ31;SG;;
LAXMICOT-BE;6570;LAXMICOT;BE;;
FINOPB-BL;6584;FINOPB;BL;;
SONATSOFTW-EQ;6596;SONATSOFTW;EQ;;
EQUAL50ADD-EQ;6606;EQUAL50ADD;EQ;;
SBC-BL;6796;SBC;BL;;
STEELCAS-EQ;6803;STEELCAS;EQ;;
COSMOFIRST-EQ;742;COSMOFIRST;EQ;;
687JH31-SG;5676;687JH31;SG;;
VIJAYA-EQ;5585;VIJAYA;EQ;;
ROLEXRINGS-EQ;5279;ROLEXRINGS;EQ;;
SAPPHIRE-EQ;6718;SAPPHIRE;EQ;;
70NL31A-SG;7316;70NL31A;SG;;
DCMSRIND-BL;7327;DCMSRIND;BL;;
ABSLNN50ET-BL;7340;ABSLNN50ET;BL;;
695BR30-SG;6318;695BR30;SG;;
708WB41-SG;6361;708WB41;SG;;
NATIONALUM-EQ;6364;NATIONALUM;EQ;;
888SCL28-NA;757466;888SCL28;NA;;
965SCL30-ND;757469;965SCL30;ND;;
920SCL32-NK;757476;920SCL32;NK;;
ABHF26625-N0;757529;ABHF26625;N0;;
709TN55-SG;757558;709TN55;SG;;
AAKAAR-ST;757582;AAKAAR;ST;;
IWARE-ST;757644;IWARE;ST;;
MOALPHA50-EQ;757669;MOALPHA50;EQ;;
PUSHPA-SM;757683;PUSHPA;SM;;
715MH47-SG;757739;715MH47;SG;;
364D020726-TB;757747;364D020726;TB;;
706RJ38-SG;757750;706RJ38;SG;;
SUNTECH-SM;757763;SUNTECH;SM;;
TOP15IETF-BL;757783;TOP15IETF;BL;;
719PN40-SG;757784;719PN40;SG;;
MOGOLD-EQ;757791;MOGOLD;EQ;;
MOGOLD-BL;757793;MOGOLD;BL;;
717KL51-SG;757832;717KL51;SG;;
INDIQUBE-EQ;757845;INDIQUBE;EQ;;
668GS2040-GS;757847;668GS2040;GS;;
TSC-SM;757858;TSC;SM;;
689GA35-SG;757912;689GA35;SG;;
698OR37-SG;757925;698OR37;SG;;
712MH47-SG;757928;712MH47;SG;;
687AP33-SG;757933;687AP33;SG;;
709TS60A-SG;757937;709TS60A;SG;;
QUALITY30-EQ;757946;QUALITY30;EQ;;
628GS2032-GS;757994;628GS2032;GS;;
768GSGL28B-N0;758011;768GSGL28B;N0;;
AARADHYA-SM;758120;AARADHYA;SM;;
758ABHFL35-N0;758141;758ABHFL35;N0;;
GROWWPOWER-EQ;758165;GROWWPOWER;EQ;;
PROSTARM-BL;758176;PROSTARM;BL;;
722MP48-SG;758187;722MP48;SG;;
719TS44-SG;758194;719TS44;SG;;
627TN29-SG;758200;627TN29;SG;;
677AP31-SG;758201;677AP31;SG;;
684JK31A-SG;758202;684JK31A;SG;;
116VCCL26A-N0;758340;116VCCL26A;N0;;
733TS60-SG;758411;733TS60;SG;;
ALLTIME-BL;758451;ALLTIME;BL;;
698PGCIL35-N0;758494;698PGCIL35;N0;;
KALPATARU-BL;758561;KALPATARU;BL;;
ETL-SM;758591;ETL;SM;;
850TIAP28B-N0;758693;850TIAP28B;N0;;
727HP35-SG;758717;727HP35;SG;;
757MP43-SG;758724;757MP43;SG;;
ANONDITA-SM;758740;ANONDITA;SM;;
724MH34-SG;758846;724MH34;SG;;
748GA36-SG;758849;748GA36;SG;;
OPTIVALUE-SM;758900;OPTIVALUE;SM;;
AONEGOLD-EQ;758904;AONEGOLD;EQ;;
AONEGOLD-BL;758906;AONEGOLD;BL;;
748AP33-SG;758928;748AP33;SG;;
772MN37-SG;758934;772MN37;SG;;
364D030926-TB;758940;364D030926;TB;;
SNEHAA-SM;758946;SNEHAA;SM;;
GANESHCP-EQ;759012;GANESHCP;EQ;;
745BR45-SG;759032;745BR45;SG;;
744TS48-SG;759035;744TS48;SG;;
IVALUE-BL;759044;IVALUE;BL;;
SAATVIKGL-EQ;759057;SAATVIKGL;EQ;;
SAATVIKGL-BL;759060;SAATVIKGL;BL;;
URBANCO-BL;759087;URBANCO;BL;;
ABCOTS-EQ;759130;ABCOTS;EQ;;
7425NIIF30-N0;759144;7425NIIF30;N0;;
789GIL31-N0;759150;789GIL31;N0;;
VMSTMT-EQ;759152;VMSTMT;EQ;;
787LDL29-N0;759174;787LDL29;N0;;
733JH34-SG;759183;733JH34;SG;;
JKIPL-BL;759208;JKIPL;BL;;
738HR41-SG;759232;738HR41;SG;;
JAINREC-EQ;759244;JAINREC;EQ;;
ALPHA-EQ;7412;ALPHA;EQ;;
MANAKALUCO-BE;7427;MANAKALUCO;BE;;
HECPROJECT-BL;7435;HECPROJECT;BL;;
68SK31-SG;5745;68SK31;SG;;
EQUAL50ADD-BL;6624;EQUAL50ADD;BL;;
SJS-EQ;6643;SJS;EQ;;
SIGACHI-EQ;6663;SIGACHI;EQ;;
SIGACHI-BL;6671;SIGACHI;BL;;
MASPTOP50-EQ;5782;MASPTOP50;EQ;;
PASUPTAC-EQ;6045;PASUPTAC;EQ;;
698RJ31-SG;6100;698RJ31;SG;;
70MN31A-SG;6101;70MN31A;SG;;
703KA32-SG;6104;703KA32;SG;;
GOODLUCK-BL;6129;GOODLUCK;BL;;
704UP31-SG;7534;704UP31;SG;;
NRBBEARING-EQ;7553;NRBBEARING;EQ;;
EVIETF-BL;755883;EVIETF;BL;;
684TS56-SG;755925;684TS56;SG;;
78ABCL33-N1;755940;78ABCL33;N1;;
81ABCL33-N4;755943;81ABCL33;N4;;
830ABCL26-NJ;755958;830ABCL26;NJ;;
703NBFID30-N0;755988;703NBFID30;N0;;
1050UCL28-NH;756004;1050UCL28;NH;;
CIFL-BL;756017;CIFL;BL;;
78618ABH28-N0;756043;78618ABH28;N0;;
GROWWMOM50-BL;756088;GROWWMOM50;BL;;
675MH40-SG;756097;675MH40;SG;;
IIFL21425A-Y1;756145;IIFL21425A;Y1;;
678IRFC30-N0;756331;678IRFC30;N0;;
TANKUP-ST;756338;TANKUP;ST;;
820MFL30-N0;756714;820MFL30;N0;;
KRISHIVAL-EQ;756782;KRISHIVAL;EQ;;
668RJ35-SG;756788;668RJ35;SG;;
709TS61-SG;756793;709TS61;SG;;
665GJ37-SG;756812;665GJ37;SG;;
7123TCHF27-N0;756823;7123TCHF27;N0;;
717TCHFL30-N0;756825;717TCHFL30;N0;;
SAMAY-SM;756848;SAMAY;SM;;
671AP35-SG;756858;671AP35;SG;;
674AP37-SG;756859;674AP37;SG;;
MON50EQUAL-BL;756902;MON50EQUAL;BL;;
684HP35-SG;756910;684HP35;SG;;
PRIMO-BL;756927;PRIMO;BL;;
925PFL30-N0;756952;925PFL30;N0;;
680NHB32-N0;756996;680NHB32;N0;;
689PN46-SG;757038;689PN46;SG;;
RAJOOENG-EQ;757049;RAJOOENG;EQ;;
BELRISE-BL;757105;BELRISE;BL;;
686TS46-SG;757117;686TS46;SG;;
930APMD32-N0;757170;930APMD32;N0;;
930APMD35-N0;757176;930APMD35;N0;;
738CIFL27-N0;757343;738CIFL27;N0;;
692TS44-SG;757391;692TS44;SG;;
692HP45-SG;757393;692HP45;SG;;
640TN32-SG;757398;640TN32;SG;;
74242ABC30-N0;757417;74242ABC30;N0;;
668AP35B-SG;757429;668AP35B;SG;;
MOPSE-BL;757433;MOPSE;BL;;
708TS56-SG;757441;708TS56;SG;;
364D110626-TB;757448;364D110626;TB;;
SNXT30BEES-EQ;757455;SNXT30BEES;EQ;;
GENUSPAPER-BL;6607;GENUSPAPER;BL;;
705WB36A-SG;7319;705WB36A;SG;;
698RJ31A-SG;6480;698RJ31A;SG;;
SGBNV29VII-GB;6518;SGBNV29VII;GB;;
GRPLTD-BL;6548;GRPLTD;BL;;
70AP39B-SG;6564;70AP39B;SG;;
NIDAN-SM;6592;NIDAN;SM;;
PARAS-BL;5917;PARAS;BL;;
MONTECARLO-BL;5941;MONTECARLO;BL;;
659CG28-SG;5971;659CG28;SG;;
689GA31A-SG;5972;689GA31A;SG;;
601RJ26-SG;5994;601RJ26;SG;;
691RJ31B-SG;5995;691RJ31B;SG;;
692UP31-SG;6000;692UP31;SG;;
COASTCORP-BL;6009;COASTCORP;BL;;
BLUECOAST-EQ;7480;BLUECOAST;EQ;;
70GA31A-SG;7513;70GA31A;SG;;
70GA31-SG;6483;70GA31;SG;;
708TS42-SG;6488;708TS42;SG;;
70AP38A-SG;6563;70AP38A;SG;;
FINOPB-EQ;6579;FINOPB;EQ;;
MEDPLUS-BL;7258;MEDPLUS;BL;;
JTLIND-BL;7291;JTLIND;BL;;
CHAMBLFERT-EQ;637;CHAMBLFERT;EQ;;
DNAMEDIA-EQ;641;DNAMEDIA;EQ;;
KRITI-EQ;6417;KRITI;EQ;;
RSSOFTWARE-EQ;6429;RSSOFTWARE;EQ;;
CONSUMIETF-EQ;6446;CONSUMIETF;EQ;;
TECH-BL;6472;TECH;BL;;
GANESHBE-EQ;5614;GANESHBE;EQ;;
NIFTYETF-BL;6354;NIFTYETF;BL;;
LAMBODHARA-EQ;6407;LAMBODHARA;EQ;;
706GS2046-GS;7184;706GS2046;GS;;
662GS2051-GS;7193;662GS2051;GS;;
BBETF0432-BL;7199;BBETF0432;BL;;
JETFREIGHT-BL;7225;JETFREIGHT;BL;;
698AP36-SG;5668;698AP36;SG;;
CESC-EQ;628;CESC;EQ;;
662CG28-SG;6315;662CG28;SG;;
788GS2030-GS;7122;788GS2030;GS;;
772GS2055-GS;7136;772GS2055;GS;;
685GA31C-SG;7154;685GA31C;SG;;
686KL35-SG;5737;686KL35;SG;;
676TN31-SG;5742;676TN31;SG;;
677RJ31A-SG;5743;677RJ31A;SG;;
DATAPATTNS-EQ;7358;DATAPATTNS;EQ;;
SETFNIFBK-EQ;7361;SETFNIFBK;EQ;;
STAR-EQ;7374;STAR;EQ;;
MEDICAMEQ-EQ;6278;MEDICAMEQ;EQ;;
609AS26-SG;6304;609AS26;SG;;
693GJ31A-SG;6320;693GJ31A;SG;;
923GS2043-GS;7087;923GS2043;GS;;
SEJALLTD-EQ;7091;SEJALLTD;EQ;;
CAMLINFINE-BL;6219;CAMLINFINE;BL;;
DTIL-EQ;6227;DTIL;EQ;;
3IINFOLTD-EQ;6232;3IINFOLTD;EQ;;
686NHPCL33-N0;756923;686NHPCL33;N0;;
769TFSIL28-N0;756930;769TFSIL28;N0;;
AAFS29A-N0;756950;AAFS29A;N0;;
915PFL27-N0;756954;915PFL27;N0;;
91PFL27-N0;756956;91PFL27;N0;;
364D280526-TB;757044;364D280526;TB;;
677HR39-SG;757112;677HR39;SG;;
930APMD33-N0;757172;930APMD33;N0;;
930APMD31-N0;757186;930APMD31;N0;;
AEGISVOPAK-BL;757339;AEGISVOPAK;BL;;
708JCL28-N0;757345;708JCL28;N0;;
664ML35-SG;757382;664ML35;SG;;
664RJ35-SG;757383;664RJ35;SG;;
682AP36-SG;757384;682AP36;SG;;
661AP34-SG;757399;661AP34;SG;;
665AP34-SG;757428;665AP34;SG;;
MOPSE-EQ;757431;MOPSE;EQ;;
713PN50-SG;757439;713PN50;SG;;
MOTOUR-BL;757445;MOTOUR;BL;;
925SCL30A-NH;757473;925SCL30A;NH;;
NEPTUNE-ST;757496;NEPTUNE;ST;;
703MH38-SG;757548;703MH38;SG;;
705HR38-SG;757549;705HR38;SG;;
708JK46A-SG;757554;708JK46A;SG;;
